arm,quantile,invest_q,profit_q
control,0.1,8444.428743396234,13657.131404209478
control,0.2,9551.4240193301,15177.29992850048
control,0.3,10273.438432720879,16174.911957213742
control,0.5,11558.975597758435,17794.467725599843
forecast_offer,0.1,8556.876576731836,13126.817751835413
forecast_offer,0.2,9428.61105901573,14849.059796410922
forecast_offer,0.3,10106.4946632185,15961.068145173824
forecast_offer,0.5,11296.51098544424,17575.06182199179
insurance_offer,0.1,9239.663647893438,13347.472443733159
insurance_offer,0.2,10228.16931171447,14975.014923837869
insurance_offer,0.3,11100.726702995722,16120.007812511121
insurance_offer,0.5,12460.262689744046,17859.84569111414
